//StickyStudy Japanese Deck//	0	//	535-5-0-96-23	440058208_-1_-160_-1_0_-1_1-1-2-2-0-0-0-0-8-0-156-40-0-1-1-3-4-0-7-10-0-0-0-0-0-407-1
------------------------------------------------------------------
せっけん	[n,vs]		soap	[365325489_0_5_3_0_0_NEW]
知る	[v5r,vt]	しる	to know, to understand, to be acquainted with, to feel	[407995650_0_6_3_0_0_NEW]
見せる	[v1,vt]	みせる	to show, to display	[407995678_0_6_3_0_0_NEW]
青	[n]	あお	blue	[407995684_0_6_3_1_0_NEW]
要る	[v5r,vi]	いる	to need	[407996043_0_6_3_0_0_NEW]
料理	[n,vs]	りょうり	(1) cooking, cookery, cuisine, (2) dealing with something, handling, administration, management	[364970268_0_1_1_0_0_NEW]
並べる	[v1,vt]	ならべる	(1) to line up, to set up, (2) to enumerate, to itemize	[364971475_0_1_1_0_0_NEW]
鳥	[n]	とり	bird	[364985696_0_1_1_0_0_NEW]
働く	[v5k,vi]	はたらく	(1) to work, to labor, to labour, (2) to function, to operate, to be effective, to work (i.e. ... works), to come into play, (3) to commit (e.g. a crime), to perpetrate	[364970540_0_1_1_0_0_NEW]
並ぶ	[v5b,vi]	ならぶ	(1) to line up, to stand in a line, (2) to rival, to match, to equal	[364971569_0_1_1_0_0_NEW]
質問	[n,vs,adj-no]	しつもん	question, inquiry, enquiry	[364970341_0_1_1_0_0_NEW]
降りる	[v1,vi]	おりる	(1) to descend (e.g. a mountain), to go down, to come down, (2) to alight (e.g. from bus), to get off, to dismount, (3) to step down, to retire, to give up, to quit	[364970509_0_1_1_0_0_NEW]
部屋	[n]	へや	(1) room, (2) (abbr) sumo stable	[364971576_0_1_1_0_0_NEW]
歌う	[v5u,vt]	うたう	(1) to sing, (2) to sing (one's praises in a poem, etc.)	[364970581_0_1_1_0_0_NEW]
着る	[v1]	きる	(1) to wear (in modern Japanese, from the shoulders down), to put on, (2) to bear (guilt, etc.)	[364970210_0_1_1_0_0_NEW]
薬	[n]	くすり	medicine	[364970438_0_1_1_0_0_NEW]
肉	[n]	にく	meat	[364971981_0_1_1_0_0_NEW]
曇る	[v5r,vi]	くもる	to become cloudy, to become dim	[364970248_0_1_1_0_0_NEW]
飴	[n]	あめ	candy (intonation: up)	[364972386_0_1_1_0_0_NEW]
勉強	[n,vs]	べんきょう	(1) to study, (2) diligence, (3) discount, reduction	[365325881_0_4_2_0_0_NEW]
泳ぐ	[v5g,vi]	およぐ	to swim	[364970287_0_1_1_0_0_NEW]
開く	[v5k,vi/vt]	あく, ひらく	(1) to open (e.g. a bank-account, festival, etc.), (v5k,vi) (2) to spread out, to open up (flower bud, umbrella, etc.), to widen (gap, distance, width), (3) to hold, to give (party, conference, etc.)	[364970566_0_1_1_0_0_NEW]
窓	[n]	まど	window	[364972596_0_1_1_0_0_NEW]
時計	[n]	とけい	watch, clock, timepiece	[364972275_0_1_1_0_0_NEW]
足	[n]	あし	foot, leg	[364971796_0_1_1_0_0_NEW]
